temps,hr,speed,altitude,distance,activity_type,1,,cadence,1,,power,1,,accumulated_power,1,,step_length,1,,,,,,,
120,179,2.861,1849.0,419.0,activity_type,1,,cadence,81,rpm,power,361,watts,accumulated_power,35877,watts,step_length,1060.0,mm,enhanced_altitude,1849.0,m,enhanced_speed,2.861,m/s
121,178,2.728,1849.0,420.5,activity_type,1,,cadence,82,rpm,power,344,watts,accumulated_power,36221,watts,step_length,1010.0,mm,enhanced_altitude,1849.0,m,enhanced_speed,2.728,m/s
122,179,2.597,1849.0,422.0,activity_type,1,,cadence,83,rpm,power,328,watts,accumulated_power,36549,watts,step_length,960.0,mm,enhanced_altitude,1849.0,m,enhanced_speed,2.597,m/s
123,179,2.633,1849.0,423.5,activity_type,1,,cadence,92,rpm,power,340,watts,accumulated_power,36889,watts,step_length,970.0,mm,enhanced_altitude,1849.0,m,enhanced_speed,2.633,m/s
124,179,2.672,1850.0,425.0,activity_type,1,,cadence,101,rpm,power,352,watts,accumulated_power,37241,watts,step_length,990.0,mm,enhanced_altitude,1850.0,m,enhanced_speed,2.672,m/s
125,179,2.678,1850.0,427.0,activity_type,1,,cadence,99,rpm,power,353,watts,accumulated_power,37594,watts,step_length,990.0,mm,enhanced_altitude,1850.0,m,enhanced_speed,2.678,m/s
126,179,2.683,1850.0,429.0,activity_type,1,,cadence,98,rpm,power,354,watts,accumulated_power,37948,watts,step_length,990.0,mm,enhanced_altitude,1850.0,m,enhanced_speed,2.683,m/s
127,179,2.911,1851.0,432.5,activity_type,1,,cadence,95,rpm,power,384,watts,accumulated_power,38332,watts,step_length,990.0,mm,enhanced_altitude,1851.0,m,enhanced_speed,2.911,m/s
128,180,3.139,1851.0,436.0,activity_type,1,,cadence,93,rpm,power,414,watts,accumulated_power,38746,watts,step_length,1000.0,mm,enhanced_altitude,1851.0,m,enhanced_speed,3.139,m/s
129,180,3.042,1852.0,438.5,activity_type,1,,cadence,91,rpm,power,377,watts,accumulated_power,39123,watts,step_length,970.0,mm,enhanced_altitude,1852.0,m,enhanced_speed,3.042,m/s
130,180,2.944,1852.0,441.0,activity_type,1,,cadence,88,rpm,power,340,watts,accumulated_power,39463,watts,step_length,940.0,mm,enhanced_altitude,1852.0,m,enhanced_speed,2.944,m/s
131,180,2.914,1852.0,443.5,activity_type,1,,cadence,86,rpm,power,337,watts,accumulated_power,39800,watts,step_length,930.0,mm,enhanced_altitude,1852.0,m,enhanced_speed,2.914,m/s
132,180,2.886,1853.0,446.0,activity_type,1,,cadence,83,rpm,power,334,watts,accumulated_power,40134,watts,step_length,920.0,mm,enhanced_altitude,1853.0,m,enhanced_speed,2.886,m/s
